date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-03-22 00:00:00,28.5,23,34,1.3,,,6.6,,1010.5,
2024-03-23 00:00:00,30.9,24,35,0.2,,,7,,1010,
2024-03-24 00:00:00,30.4,23.6,36.2,13.6,,,8.6,,1009.4,
2024-03-25 00:00:00,31.1,24.8,35,11.4,,,7,,1010.6,
2024-03-26 00:00:00,27.8,22.4,35,21.1,,,6.4,,1010.8,
2024-03-27 00:00:00,27.5,23.1,33,3.9,,,5.9,,1012.1,
2024-03-28 00:00:00,28.9,22.1,35,15.5,,,7.3,,1012,
2024-03-29 00:00:00,26.4,22.4,31,8.2,,,9.3,,1013,
2024-03-30 00:00:00,27.5,21.9,33,0,,,6.3,,1011.9,
2024-03-31 00:00:00,27.2,23.2,32,22.5,,,6.7,,1012,
2024-04-01 00:00:00,28.2,22.2,35.3,13.5,,,7.9,,1012,
2024-04-02 00:00:00,25.4,22.5,29.5,10.5,,,5.5,,1012.7,
2024-04-03 00:00:00,28.1,23.2,31,21,,,6.1,,1011.5,
2024-04-04 00:00:00,25.8,21.3,32,4.1,,,5.6,,1012.6,
2024-04-05 00:00:00,27.7,21.9,35,1.6,,,7.7,,1012.4,
2024-04-06 00:00:00,28,23.6,35.2,0,,,5,,1012.8,
2024-04-07 00:00:00,30.5,22.9,36.1,0,,,7.6,,1009.6,
2024-04-08 00:00:00,30.6,23.4,34.6,0.7,,,9.2,,1010,
2024-04-09 00:00:00,31.3,23.9,37.4,0,,,6.6,,1009.7,
2024-04-10 00:00:00,31.9,23.7,37,0,,,6.8,,1009,
2024-04-11 00:00:00,30.3,23.5,38.1,0,,,7.6,,1010,
2024-04-12 00:00:00,32.3,23.8,38,0,,,7.6,,1010.3,
2024-04-13 00:00:00,29.8,24,37,0,,,7.1,,1009.5,
2024-04-14 00:00:00,32.1,25,37.8,0,,,6.8,,1008.5,
2024-04-15 00:00:00,29.8,23.2,36,8.3,,,6.1,,1008.5,
2024-04-16 00:00:00,31.7,23.6,37,0,,,5.5,,1009,
2024-04-17 00:00:00,28.4,25,33,0,,,8.6,,1010,
2024-04-18 00:00:00,29.2,23,36.3,4.6,,,9.1,,1010.5,
2024-04-19 00:00:00,28.3,23,32.6,17.7,,,7.3,,1012.3,
2024-04-20 00:00:00,27.9,23,34.5,12.5,,,6.6,,1011.6,
2024-04-21 00:00:00,29.1,22.8,33,12.9,,,7.6,,1011.8,
2024-04-22 00:00:00,24.6,22,29,7.6,,,5.4,,1013.3,
2024-04-23 00:00:00,27.4,22.6,31,0,,,6.5,,1012.3,
2024-04-24 00:00:00,27.5,23.9,30,1,,,5.8,,1012,
2024-04-25 00:00:00,27.6,23,33,0.3,,,6.9,,1011.2,
2024-04-26 00:00:00,29.5,23.5,34,22.2,,,7.5,,1010.2,
2024-04-27 00:00:00,27.3,22.9,33,17.6,,,6.8,,1011,
2024-04-28 00:00:00,28.3,23,33,5.1,,,8.7,,1011.3,
2024-04-29 00:00:00,26.2,22.6,32,8.7,,,5,,1012.1,
2024-04-30 00:00:00,29.3,23,34,0.6,,,6.2,,1010.3,
2024-05-01 00:00:00,29.7,24.3,32.5,2.8,,,6.5,,1009.8,
2024-05-02 00:00:00,28.6,23.1,35,0,,,5.7,,1007.8,
2024-05-03 00:00:00,26.9,23,30.1,25,,,5,,1009.8,
2024-05-04 00:00:00,27.9,23.1,32.1,17,,,7.5,,1010.3,
2024-05-05 00:00:00,26.6,23,31,0,,,7.3,,1012.2,
2024-05-06 00:00:00,28.3,22.8,34,1.3,,,6.1,,1010.4,
2024-05-07 00:00:00,29.3,23.4,35,0.7,,,7,,1008.3,
2024-05-08 00:00:00,26.3,23.2,31,8.9,,,7.2,,1010.7,
2024-05-09 00:00:00,24.1,22.8,26.4,2.2,,,7.1,,1012.8,
2024-05-10 00:00:00,27.2,23,32.1,1.1,,,5.6,,1011.8,
2024-05-11 00:00:00,30.2,23.2,35,0,,,5.4,,1010.3,
2024-05-12 00:00:00,30.2,24.4,34,0,,,7.4,,1011.3,
2024-05-13 00:00:00,29.1,22.5,34.5,1.3,,,7,,1010.2,
2024-05-14 00:00:00,28.2,23,30,0,,,9.2,,1010.6,
2024-05-15 00:00:00,28.8,23.7,33,7.7,,,5.7,,1011.7,
2024-05-16 00:00:00,26.6,23,29.1,0.1,,,5,,1012.8,
2024-05-17 00:00:00,28,23,34,0,,,4.8,,1011.3,
2024-05-18 00:00:00,27.3,23.4,31.2,0,,,5.7,,1012.4,
2024-05-19 00:00:00,29,23,36,0,,,9.2,,1010.8,
2024-05-20 00:00:00,30.2,24.8,36.6,4.3,,,11.2,,1010.4,
2024-05-21 00:00:00,29.6,24.7,34,0,,,13.3,,1010.8,
2024-05-22 00:00:00,28.2,24,33,0,,,7.9,,1012,
2024-05-23 00:00:00,30.1,25,35,0,,,5.4,,1012.2,
2024-05-24 00:00:00,28.9,25,32.9,9.4,,,8,,1012.4,
2024-05-25 00:00:00,25.6,23,26,2,,,5.6,,1014.2,
2024-05-26 00:00:00,26.8,23,30.6,0,,,5.7,,1013.1,
2024-05-27 00:00:00,28.5,22.8,32.4,0,,,8.7,,1011.6,
2024-05-28 00:00:00,30.6,23.4,34,0.8,,,8.4,,1012.3,
2024-05-29 00:00:00,24.3,22.5,28.5,24.9,,,8.6,,1014,
2024-05-30 00:00:00,28.2,22.7,33,1.3,,,9.8,,1012.5,
2024-05-31 00:00:00,30.2,24.2,34.5,0,,,13.1,,1012.3,
2024-06-01 00:00:00,29,22.7,36,0,,,11.7,,1011.2,
2024-06-02 00:00:00,31,22.9,35,0,,,10.1,,1011.1,
2024-06-03 00:00:00,30,23.5,33.6,0,,,12.2,,1011.7,
2024-06-04 00:00:00,26.1,22,29,1.7,,,10.1,,1013.2,
2024-06-05 00:00:00,26.4,22.6,32,0,,,8.4,,1013.4,
2024-06-06 00:00:00,26.1,23.4,32.2,0.2,,,7.5,,1012.3,
2024-06-07 00:00:00,27.8,22.7,33,0,,,7.5,,1012.9,
